title|scroll|fullSize|filename|altText|originalDate|originalCaption|caption|transcript
Snowy Days, Warm Hearts|||202011yukihana.jpg|Yukiki and Hanana dancing in the snow. Hanana is laughing and having a good time, while Yukiki is looking fondly at Hanana.|December 2020|I hope we get more than one snow day in my area this time around!! -crosses fingers- |It usually doesn't snow in December...January, on the other hand...|
Old Everwyrm|||202010sharaishvalda.jpg|A reference of a gijinka of Shara Ishvalda from "Monster Hunter: World".|October 2020||A gijinka for Monster Hunter! I haven't gotten around to making gijinkas of any other monsters save for a few that I scribbled here and there, so Shara is the only one I made a "proper" reference for. She's a creepy grandma dragon who no one likes to visit, and she's perfectly ok with that!|Text near her head: "Head twitches sometimes. Likes rocks...as a snack"\n\nText near her hand: "Cool, but not practical in opening soda cans. :("\n\nText near her coat tails: "Always moving somehow"
Time for a Kiss?|TRUE||202009chokeonapocketwatch.jpg|Drs. Neo Cortex and Nefarious Tropy from the "Crash Bandicoot" game series. Tropy has his arms crossed behind his back and is looking down on Cortex, who is standing on a stool. Tropy is saying, "If you want to give me a morning kiss, you'll have t odo better than that, Doctor." Cortex replies with, " Go choke on your pocket watch, Tropy." while slightly blushing.|September 2020||I sure do love my old man yaoi! Well, it's not really "yaoi", but more like...oyaji-ai? xDD|
Give It To Me Straight, Doc|||202008giveittomestraight.jpg|Dr. Neo Cortex from the "Crash Bandicoot" game series looking smugly at the camera with a cup of tea in one hand. The text bubble above him reads, "Me, straight? That's a good one."|August 2020||One of my favorite pieces from 2020! This was essentially a response to homophobic gamers who were harassing someone for making a very convincing screenshot edit of N. Tropy and Cortex kissing. I don't know if I can find it again...|
An Actually Normal Family...of Doom!|||202007vitaminfamily.jpg|Two fan characters from Invader Zim. Dr. Vitamin is on the left while her daughter Amelia is on the right.|July 2020|I've had fan OCs become their own characters, but never the other way around..until now! These two have been collecting dust, so I thought about putting them in a fandom until I figure something out for them!\n\nWhich fandom, you ask? lmao I'm too embarrassed to say, but the doctor's tag might give you a bit of a clue :'3 |\-whispers\- It's Invader Zim. :3c|
Pink Sweeties|||202004darnilovethem.jpg|A romantic drawing of a pair of Mew gijinkas holding hands and touching their noses together. Bright is on the left and Mr. Merry is on the right.|April 2020||A little piece for my sweetest Sam! The left is her Mew gijinka Bright and the other Mew gijinka whose name is Mr. Merry is mine! Bright is usually depicted as a 10-year-old in our current story, but these two meet and eventually get together in the future when they're in their 20s!|
Island Getaway Advisors|||202003islandgetaway.jpg|Human versions of Tom Nook and Isabelle from the "Animal Crossing" game series. Tom is waving with one hand with a calm expression while Isabelle is waving with both of her hands with a smile.|March 2020|idk about you, but these two can take my money any day.|You won't believe the comments I got from Twitter comparing Tom Nook to Justin McElroy! Like, come on, not every fat man looks like Justin McElroy or Jack Black! |
Sugary Sweet Fluff|||202003heckilovethem.jpg|A romantic drawing of Claremont (Chansey gijinka) and Hershey (shiny Slurpuff gijinka) with the two holding hands (and Claremon's right hand on Hershey's hip). Claremont says to Hershey, "You actually smell nice~" and Hershey responds with a smile, "Shut up, Claremont"|March 2020|Hershey's been able to quit smoking, thanks to Claremont, and I'd say it's definitely got its perks. Claremont (right) belongs to Sam!||
The "Most Unlikely Couple" Award Goes To...|||201910twolosers.jpg|Ganondorf and Linebeck from the "Legend of Zelda" game series in an embrace, with Ganondorf hugging Linebeck with his cape.|October 2019||H-hear me out!! This started out as a "What if" scenario since the two both make appearances in "Super Smash Bros Ultimate". Ok, Linebeck is more of a static image NPC but still. I just thought it'd be funny to push two treasure-hunters together and see what happens, and now they're my favorite LoZ crackship lmao. |
*sad trumpet noises*|||201909awwspinel.jpg|Spinel from Steven Universe clasping her hands together and weeping. Her dialogue reads, "My Diamond..."|September 2019||A drawing I rendered after watching the Steven Universe movie! I never thought I'd see such a sad rubberhose character! ;_; |
