src|alt|url|freezeframe
mh_vs_izuchi.gif|A crudely drawn scene from Monster Hunter Rise with a Palamute hitting a Great Izuchi. A hunter is sitting on top of the Palamute watching the scene.||true
mh_shara_rap.gif|Shara Ishvalda from TerminalMontage's "Something about Monster Hunter World" making rapping gestures with its tattooed winged arms|https://www.youtube.com/watch?v=0XiFiYPxEQY&|true
mh_monsterhunter_now.png|A button that says "Monster Hunter Now!" with the Hunter's Guild crest on the side||
mh_mmm_sotasty.gif|A hunting cooking a piece of meat over a BBQ spit in Monster Hunter World||true
mh_malzeno2.gif|Malzeno from Monster Hunter Rise: Sunbreak looming towards its prey||true
mh_malzeno.gif|Malzeno from Monster Hunter Rise: Sunbreak spreading its wings||true
mh_lea.gif|Lea from Monster Hunter World removing a cookied piece of meat and then is shown pleased at the smell. There is white text that reads, "Lea" with a heart next to it||true
mh_handler2.gif|The Handler from Monster Hunter World removing her goggles and smiling at the hunter (offscreen). There is white text that reads, "Handler" with a heart next to it|https://mikaeled.tumblr.com/tagged/monster%20hunter%20world|true
mh_hander_tada.gif|The Handler from Monster Hunter World making a victorious gesture. The bold text that appears behind her says, "TA-DA"||true
mh_deviljho.gif|A cartoony Deviljho from Monster Hunter, quickly transitioning into a more fearsome state.|https://www.youtube.com/c/NCHProductions|true
mh_deviljho_meat.gif|A cartoony Deviljho dancing with two pieces of blue Drugged Meat|https://www.youtube.com/c/NCHProductions|true
mh_deviljho_dance.gif|A cartoony Deviljho dancing|https://www.youtube.com/c/NCHProductions|true
mh_birdup.gif|Kulu-Ya-Ku as depicted from "Something About Monster Hunter World". The camera is zooming in with letters reading, "BIRD UP" in capital letters|https://www.youtube.com/watch?v=0XiFiYPxEQY&|true
mh_aiden.gif|Aiden from Monster Hunter World. There is text that reads "Aiden" with a heart next to it||true
