name|url|desc
Rina Cat's Domain|http://web.archive.org/web/20041206135411/rinacat.com/main.html|inspiration
Meadow|https://guestbooks.meadow.cafe/|guestbook
Ctrl Freaks|https://github.com/ctrl-freaks/freezeframe.js|freezeframe.js library
Bootstrap|https://getbootstrap.com/docs/5.3/getting-started/contents/#css-files|grid formatting
status.cafe|https://status.cafe/|microblog
Dann|https://dannarchy.com/tut/tut_002|hit counter on splash page
Feather|https://feathericons.com/|icons seen throughout the site
Eleventy|https://11ty.dev|static site generator
Catppuccin|https://catppuccin.com/|colors for RSS Feed and Rainbow clique on home page
Bret Comnes|https://github.com/marketplace/actions/deploy-to-neocities|deploy-to-neocities GitHub action
Salma Alam-Naylor|https://dev.to/whitep4nth3r/the-best-lightdark-mode-theme-toggle-in-javascript-368f|Light/dark mode toggle code inspiration
Gustavo Costa|https://github.com/dracula/prism|Dracula PrismJS theme
**Visitors like you!** Thank you!
